3.26172966	0.29690130
3.27033313	0.30503439
3.27898211	0.31402006
3.28767696	0.32418595
3.29641804	0.33692002
3.30520572	0.35413445
3.31404038	0.37675000
3.32292240	0.39995577
3.33185216	0.41956672
3.34083003	0.44203177
3.34985643	0.46836779
3.35893173	0.49612971
3.36805634	0.52416833
3.37723065	0.55359453
3.38645509	0.58492529
3.39573005	0.61649592
3.40505596	0.64833692
3.41443323	0.68007347
3.42386229	0.70857484
3.43334358	0.73542168
3.44287752	0.75405967
3.45246456	0.76321777
3.46210514	0.76852778
3.47179971	0.77282983
3.48154872	0.77656675
3.49135265	0.77857749
3.50121194	0.77769057
3.51112707	0.77321881
3.52109852	0.76532887
3.53112677	0.75433453
3.54121231	0.74227681
3.55135562	0.72927369
3.56155721	0.71410991
3.57181758	0.69974391
3.58213723	0.68482696
3.59251669	0.66969121
3.60295647	0.65519753
3.61345711	0.64157406
3.62401913	0.62897112
3.63464307	0.61753526
3.64532949	0.60738806
3.65607894	0.59843900
3.66689197	0.59048118
3.67776915	0.58331092
3.68871105	0.57672901
3.69971825	0.57054077
3.71079134	0.56457804
3.72193091	0.55886871
3.73313756	0.55353876
3.74441191	0.54871192
3.75575456	0.54443260
3.76716613	0.54044326
3.77864727	0.53641809
3.79019860	0.53204487
3.80182077	0.52741622
3.81351443	0.52327001
3.82528026	0.52038573
3.83711891	0.51936644
3.84903106	0.52002922
3.86101741	0.52195911
3.87307864	0.52475082
3.88521547	0.52800882
3.89742860	0.53146272
3.90971875	0.53517312
3.92208666	0.53925556
3.93453307	0.54382252
3.94705873	0.54898350
3.95966439	0.55484503
3.97235082	0.56150610
3.98511881	0.56892344
3.99796915	0.57689281
4.01090262	0.58520582
4.02392005	0.59365921
4.03702224	0.60205485
4.05021004	0.61020082
4.06348429	0.61818935
4.07684583	0.62674772
4.09029553	0.63667270
4.10383427	0.64873981
4.11746293	0.66344905
4.13118241	0.68006871
4.14499363	0.69752173
4.15889750	0.71522149
4.17289496	0.73643297
4.18698696	0.76139282
4.20117447	0.78657746
4.21545845	0.81173352
4.22983989	0.83960062
4.24431979	0.86459018
4.25889917	0.88953561
4.27357906	0.91627457
4.28836050	0.93790823
4.30324454	0.95010170
4.31823227	0.95595308
4.33332476	0.96655020
4.34852312	0.98094184
4.36382846	0.99212673
4.37924193	0.99817171
4.39476466	1.00000000
4.41039783	0.99854452
4.42614262	0.99471356
4.44200023	0.98945686
4.45797187	0.98390586
4.47405878	0.97889659
4.49026221	0.97378593
4.50658344	0.96755017
4.52302375	0.95984471
4.53958444	0.95108362
4.55626686	0.94269757
4.57307234	0.93631943
4.59000225	0.93216125
